combo_index,buy_pullback_rsi,sell_overbought_rsi,min_atr,extreme_setup_rsi,extreme_setup_rel_vol,return_pct,max_drawdown_pct,max_drawdown_abs,win_rate_pct,profit_factor,sharpe_ratio,trade_count
69,42.0,85.0,3.5,30.0,1.1,31.656382601783818,-4.534938879989337,4.534938879989337,46.32352941176471,1.4489406543856362,0.9034319997881978,136
68,42.0,85.0,3.5,30.0,1.0,31.656382601783818,-4.534938879989337,4.534938879989337,46.32352941176471,1.4489406543856362,0.9034319997881978,136
67,42.0,85.0,3.5,30.0,0.9,31.656382601783818,-4.534938879989337,4.534938879989337,46.32352941176471,1.4489406543856362,0.9034319997881978,136
65,42.0,85.0,3.5,25.0,1.0,31.656382601783818,-4.534938879989337,4.534938879989337,46.32352941176471,1.4489406543856362,0.9034319997881978,136
100,42.0,88.0,3.5,25.0,0.9,31.656382601783818,-4.534938879989337,4.534938879989337,46.32352941176471,1.4489406543856362,0.9034319997881978,136
28,42.0,82.0,3.5,25.0,0.9,31.656382601783818,-4.534938879989337,4.534938879989337,46.32352941176471,1.4489406543856362,0.9034319997881978,136
102,42.0,88.0,3.5,25.0,1.1,31.656382601783818,-4.534938879989337,4.534938879989337,46.32352941176471,1.4489406543856362,0.9034319997881978,136
103,42.0,88.0,3.5,30.0,0.9,31.656382601783818,-4.534938879989337,4.534938879989337,46.32352941176471,1.4489406543856362,0.9034319997881978,136
108,42.0,88.0,3.5,35.0,1.1,31.656382601783818,-4.534938879989337,4.534938879989337,46.32352941176471,1.4489406543856362,0.9034319997881978,136
107,42.0,88.0,3.5,35.0,1.0,31.656382601783818,-4.534938879989337,4.534938879989337,46.32352941176471,1.4489406543856362,0.9034319997881978,136
105,42.0,88.0,3.5,30.0,1.1,31.656382601783818,-4.534938879989337,4.534938879989337,46.32352941176471,1.4489406543856362,0.9034319997881978,136
104,42.0,88.0,3.5,30.0,1.0,31.656382601783818,-4.534938879989337,4.534938879989337,46.32352941176471,1.4489406543856362,0.9034319997881978,136
106,42.0,88.0,3.5,35.0,0.9,31.656382601783818,-4.534938879989337,4.534938879989337,46.32352941176471,1.4489406543856362,0.9034319997881978,136
214,46.0,88.0,3.5,35.0,0.9,22.955588869605855,-10.242933378736229,10.242933378736229,45.45454545454545,1.443008047772295,0.5407587784107758,132
213,46.0,88.0,3.5,30.0,1.1,22.955588869605855,-10.242933378736229,10.242933378736229,45.45454545454545,1.443008047772295,0.5407587784107758,132
212,46.0,88.0,3.5,30.0,1.0,22.955588869605855,-10.242933378736229,10.242933378736229,45.45454545454545,1.443008047772295,0.5407587784107758,132
141,46.0,82.0,3.5,30.0,1.1,22.955588869605855,-10.242933378736229,10.242933378736229,45.45454545454545,1.443008047772295,0.5407587784107758,132
211,46.0,88.0,3.5,30.0,0.9,22.955588869605855,-10.242933378736229,10.242933378736229,45.45454545454545,1.443008047772295,0.5407587784107758,132
210,46.0,88.0,3.5,25.0,1.1,22.955588869605855,-10.242933378736229,10.242933378736229,45.45454545454545,1.443008047772295,0.5407587784107758,132
215,46.0,88.0,3.5,35.0,1.0,22.955588869605855,-10.242933378736229,10.242933378736229,45.45454545454545,1.443008047772295,0.5407587784107758,132
216,46.0,88.0,3.5,35.0,1.1,22.955588869605855,-10.242933378736229,10.242933378736229,45.45454545454545,1.443008047772295,0.5407587784107758,132
136,46.0,82.0,3.5,25.0,0.9,22.955588869605855,-10.242933378736229,10.242933378736229,45.45454545454545,1.443008047772295,0.5407587784107758,132
137,46.0,82.0,3.5,25.0,1.0,22.955588869605855,-10.242933378736229,10.242933378736229,45.45454545454545,1.443008047772295,0.5407587784107758,132
138,46.0,82.0,3.5,25.0,1.1,22.955588869605855,-10.242933378736229,10.242933378736229,45.45454545454545,1.443008047772295,0.5407587784107758,132
139,46.0,82.0,3.5,30.0,0.9,22.955588869605855,-10.242933378736229,10.242933378736229,45.45454545454545,1.443008047772295,0.5407587784107758,132
140,46.0,82.0,3.5,30.0,1.0,22.955588869605855,-10.242933378736229,10.242933378736229,45.45454545454545,1.443008047772295,0.5407587784107758,132
180,46.0,85.0,3.5,35.0,1.1,22.955588869605855,-10.242933378736229,10.242933378736229,45.45454545454545,1.443008047772295,0.5407587784107758,132
142,46.0,82.0,3.5,35.0,0.9,22.955588869605855,-10.242933378736229,10.242933378736229,45.45454545454545,1.443008047772295,0.5407587784107758,132
208,46.0,88.0,3.5,25.0,0.9,22.955588869605855,-10.242933378736229,10.242933378736229,45.45454545454545,1.443008047772295,0.5407587784107758,132
173,46.0,85.0,3.5,25.0,1.0,22.955588869605855,-10.242933378736229,10.242933378736229,45.45454545454545,1.443008047772295,0.5407587784107758,132
179,46.0,85.0,3.5,35.0,1.0,22.955588869605855,-10.242933378736229,10.242933378736229,45.45454545454545,1.443008047772295,0.5407587784107758,132
143,46.0,82.0,3.5,35.0,1.0,22.955588869605855,-10.242933378736229,10.242933378736229,45.45454545454545,1.443008047772295,0.5407587784107758,132
144,46.0,82.0,3.5,35.0,1.1,22.955588869605855,-10.242933378736229,10.242933378736229,45.45454545454545,1.443008047772295,0.5407587784107758,132
172,46.0,85.0,3.5,25.0,0.9,22.955588869605855,-10.242933378736229,10.242933378736229,45.45454545454545,1.443008047772295,0.5407587784107758,132
178,46.0,85.0,3.5,35.0,0.9,22.955588869605855,-10.242933378736229,10.242933378736229,45.45454545454545,1.443008047772295,0.5407587784107758,132
177,46.0,85.0,3.5,30.0,1.1,22.955588869605855,-10.242933378736229,10.242933378736229,45.45454545454545,1.443008047772295,0.5407587784107758,132
