Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag
52,763,764,216.33999633789065,213.02000427246097,,,-194.96630743408204,22.326720031738287,-0.017330831697824883,2021-01-13,2021-01-14,1 days,
43,764,765,213.02000427246097,212.6499938964844,,,-34.21425608825684,18.30380992126465,-0.0037352378095335727,2021-01-14,2021-01-15,1 days,
52,765,766,212.6499938964844,216.44000244140625,,,174.7677645263657,22.312679809570312,0.01580493131930215,2021-01-15,2021-01-19,4 days,
42,766,789,216.44000244140625,234.5099945068359,,,739.9997668762196,18.93989987182617,0.08140381569830726,2021-01-19,2021-02-22,34 days,
45,789,790,234.5099945068359,233.27000427246097,,,-76.8496604919408,21.05009994506836,-0.007282291898669805,2021-02-22,2021-02-23,1 days,
42,790,791,233.27000427246097,234.5500030517578,,,34.11150842285036,19.64844030761719,0.0034817111377250885,2021-02-23,2021-02-24,1 days,
45,791,792,234.5500030517578,228.9900054931641,,,-271.059190521239,20.859300384521486,-0.025681251284441237,2021-02-24,2021-02-25,1 days,
44,792,793,228.9900054931641,232.3800048828125,,,128.85969268798704,20.30028045654297,0.012789332761336775,2021-02-25,2021-02-26,1 days,
44,793,795,232.3800048828125,233.8699951171875,,,45.0445703125,20.515,0.004405457495756936,2021-02-26,2021-03-02,4 days,
43,795,796,233.8699951171875,227.55999755859375,,,-291.17138470458985,19.841489685058594,-0.028953810632597412,2021-03-02,2021-03-03,1 days,
46,796,797,227.55999755859375,226.72999572753903,,,-59.07742391967904,20.89733969116211,-0.0056437503872365236,2021-03-03,2021-03-04,1 days,
44,797,798,226.72999572753903,231.6000061035156,,,194.11393646240234,20.166520080566404,0.019457859380225085,2021-03-04,2021-03-05,1 days,
44,798,799,231.6000061035156,227.38999938964844,,,-205.4358556518542,20.19556024169922,-0.020159743507405063,2021-03-05,2021-03-08,3 days,
45,799,800,227.38999938964844,233.77999877929688,,,266.79732261657716,20.75264991760254,0.02607339552044255,2021-03-08,2021-03-09,1 days,
42,800,801,233.77999877929688,232.4199981689453,,,-76.7004255065918,19.580399871826174,-0.007811620398817129,2021-03-09,2021-03-10,1 days,
46,801,808,232.4199981689453,230.3500061035156,,,-116.50705520630014,21.287420196533205,-0.010897350011426785,2021-03-10,2021-03-19,9 days,
42,808,836,230.3500061035156,252.5099945068359,,,910.4393929138183,20.280120025634762,0.09410517833009577,2021-03-19,2021-04-29,41 days,
39,836,838,252.5099945068359,251.86000061035156,,,-45.020191772459825,19.67042980957031,-0.004571557232243683,2021-04-29,2021-05-03,4 days,
42,838,839,251.86000061035156,247.7899932861328,,,-191.92560736083985,20.985299743652345,-0.018143640542528473,2021-05-03,2021-05-04,1 days,
41,839,840,247.7899932861328,246.47000122070312,,,-74.38433445739746,20.264659774780274,-0.00732173255213554,2021-05-04,2021-05-05,1 days,
42,840,841,246.47000122070312,249.72999572753903,,,116.079369415282,20.840399871826172,0.011213512785326021,2021-05-05,2021-05-06,1 days,
40,841,843,249.72999572753903,247.17999267578125,,,-121.87652160644417,19.87639953613281,-0.012200829264760633,2021-05-06,2021-05-10,4 days,
43,843,844,247.17999267578125,246.22999572753903,,,-62.06649827575806,21.216629501342773,-0.005839497448884625,2021-05-10,2021-05-11,1 days,
40,844,845,246.22999572753903,239.0,,,-308.60902893066293,19.40919982910156,-0.031333411270508676,2021-05-11,2021-05-12,1 days,
45,845,846,239.0,243.02999877929688,,,159.658595123291,21.69134994506836,0.014845057659069263,2021-05-12,2021-05-13,1 days,
39,846,847,243.02999877929688,248.1499938964844,,,180.52378985595814,19.156019714355473,0.019046270615815368,2021-05-13,2021-05-14,1 days,
43,847,848,248.1499938964844,245.17999267578125,,,-148.92324191284303,21.213189422607424,-0.013956604039733062,2021-05-14,2021-05-17,3 days,
