combo_index,buy_pullback_rsi,sell_overbought_rsi,min_atr,extreme_setup_rsi,extreme_setup_rel_vol,return_pct,max_drawdown_pct,max_drawdown_abs,win_rate_pct,profit_factor,sharpe_ratio,trade_count
77,42.0,78.0,0.5,30.0,1.0,7.337066895454438,-10.197110591330361,10.197110591330361,44.0,1.1865995029892016,0.24534033594356508,125
78,42.0,78.0,0.5,30.0,1.1,7.337066895454438,-10.197110591330361,10.197110591330361,44.0,1.1865995029892016,0.24534033594356508,125
79,42.0,78.0,0.5,35.0,0.9,7.337066895454438,-10.197110591330361,10.197110591330361,44.0,1.1865995029892016,0.24534033594356508,125
80,42.0,78.0,0.5,35.0,1.0,7.337066895454438,-10.197110591330361,10.197110591330361,44.0,1.1865995029892016,0.24534033594356508,125
81,42.0,78.0,0.5,35.0,1.1,7.337066895454438,-10.197110591330361,10.197110591330361,44.0,1.1865995029892016,0.24534033594356508,125
82,42.0,78.0,1.5,25.0,0.9,7.337066895454438,-10.197110591330361,10.197110591330361,44.0,1.1865995029892016,0.24534033594356508,125
83,42.0,78.0,1.5,25.0,1.0,7.337066895454438,-10.197110591330361,10.197110591330361,44.0,1.1865995029892016,0.24534033594356508,125
84,42.0,78.0,1.5,25.0,1.1,7.337066895454438,-10.197110591330361,10.197110591330361,44.0,1.1865995029892016,0.24534033594356508,125
85,42.0,78.0,1.5,30.0,0.9,7.337066895454438,-10.197110591330361,10.197110591330361,44.0,1.1865995029892016,0.24534033594356508,125
86,42.0,78.0,1.5,30.0,1.0,7.337066895454438,-10.197110591330361,10.197110591330361,44.0,1.1865995029892016,0.24534033594356508,125
87,42.0,78.0,1.5,30.0,1.1,7.337066895454438,-10.197110591330361,10.197110591330361,44.0,1.1865995029892016,0.24534033594356508,125
88,42.0,78.0,1.5,35.0,0.9,7.337066895454438,-10.197110591330361,10.197110591330361,44.0,1.1865995029892016,0.24534033594356508,125
89,42.0,78.0,1.5,35.0,1.0,7.337066895454438,-10.197110591330361,10.197110591330361,44.0,1.1865995029892016,0.24534033594356508,125
90,42.0,78.0,1.5,35.0,1.1,7.337066895454438,-10.197110591330361,10.197110591330361,44.0,1.1865995029892016,0.24534033594356508,125
91,42.0,78.0,2.5,25.0,0.9,11.560893055885158,-10.133876439143064,10.133876439143064,45.16129032258064,1.424214678700059,0.3767508053980568,124
92,42.0,78.0,2.5,25.0,1.0,11.560893055885158,-10.133876439143064,10.133876439143064,45.16129032258064,1.424214678700059,0.3767508053980568,124
93,42.0,78.0,2.5,25.0,1.1,11.560893055885158,-10.133876439143064,10.133876439143064,45.16129032258064,1.424214678700059,0.3767508053980568,124
94,42.0,78.0,2.5,30.0,0.9,11.560893055885158,-10.133876439143064,10.133876439143064,45.16129032258064,1.424214678700059,0.3767508053980568,124
95,42.0,78.0,2.5,30.0,1.0,11.560893055885158,-10.133876439143064,10.133876439143064,45.16129032258064,1.424214678700059,0.3767508053980568,124
96,42.0,78.0,2.5,30.0,1.1,11.560893055885158,-10.133876439143064,10.133876439143064,45.16129032258064,1.424214678700059,0.3767508053980568,124
97,42.0,78.0,2.5,35.0,0.9,11.560893055885158,-10.133876439143064,10.133876439143064,45.16129032258064,1.424214678700059,0.3767508053980568,124
98,42.0,78.0,2.5,35.0,1.0,11.560893055885158,-10.133876439143064,10.133876439143064,45.16129032258064,1.424214678700059,0.3767508053980568,124
99,42.0,78.0,2.5,35.0,1.1,11.560893055885158,-10.133876439143064,10.133876439143064,45.16129032258064,1.424214678700059,0.3767508053980568,124
100,42.0,78.0,3.5,25.0,0.9,31.733547953117462,-4.534938879989337,4.534938879989337,45.45454545454545,1.4383610388800914,0.9058942956140419,132
101,42.0,78.0,3.5,25.0,1.0,31.733547953117462,-4.534938879989337,4.534938879989337,45.45454545454545,1.4383610388800914,0.9058942956140419,132
102,42.0,78.0,3.5,25.0,1.1,31.733547953117462,-4.534938879989337,4.534938879989337,45.45454545454545,1.4383610388800914,0.9058942956140419,132
103,42.0,78.0,3.5,30.0,0.9,31.733547953117462,-4.534938879989337,4.534938879989337,45.45454545454545,1.4383610388800914,0.9058942956140419,132
104,42.0,78.0,3.5,30.0,1.0,31.733547953117462,-4.534938879989337,4.534938879989337,45.45454545454545,1.4383610388800914,0.9058942956140419,132
105,42.0,78.0,3.5,30.0,1.1,31.733547953117462,-4.534938879989337,4.534938879989337,45.45454545454545,1.4383610388800914,0.9058942956140419,132
106,42.0,78.0,3.5,35.0,0.9,31.733547953117462,-4.534938879989337,4.534938879989337,45.45454545454545,1.4383610388800914,0.9058942956140419,132
107,42.0,78.0,3.5,35.0,1.0,31.733547953117462,-4.534938879989337,4.534938879989337,45.45454545454545,1.4383610388800914,0.9058942956140419,132
108,42.0,78.0,3.5,35.0,1.1,31.733547953117462,-4.534938879989337,4.534938879989337,45.45454545454545,1.4383610388800914,0.9058942956140419,132
109,46.0,70.0,0.5,25.0,0.9,3.854630332351589,-10.102936840594989,10.102936840594989,43.84615384615385,1.123269973718414,0.10953429069852602,130
110,46.0,70.0,0.5,25.0,1.0,3.854630332351589,-10.102936840594989,10.102936840594989,43.84615384615385,1.123269973718414,0.10953429069852602,130
111,46.0,70.0,0.5,25.0,1.1,3.854630332351589,-10.102936840594989,10.102936840594989,43.84615384615385,1.123269973718414,0.10953429069852602,130
